醫事機構代碼,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
0145080011,3524,2136,2020/03/08 17:03:42
0291010010,168,499,2020/03/08 17:03:42
2101010013,1,2219,2020/03/08 17:03:42
2101020019,1,1633,2020/03/08 17:03:42
2101090011,0,1230,2020/03/08 17:03:42
2101100227,0,1817,2020/03/08 17:03:42
2101110027,5,920,2020/03/08 17:03:42
2101120014,0,2026,2020/03/08 17:03:42
2101150012,0,1945,2020/03/08 17:03:42
2101161033,1,2107,2020/03/08 17:03:42
2101170050,0,2069,2020/03/08 17:03:42
2101180038,0,2024,2020/03/08 17:03:42
2101191068,0,1589,2020/03/08 17:03:42
2101200017,0,1854,2020/03/08 17:03:42
2303240013,1140,1413,2020/03/08 17:03:42
2311010010,5,2410,2020/03/08 17:03:42
2311020016,0,2570,2020/03/08 17:03:42
2311030012,565,2108,2020/03/08 17:03:42
2311040018,44,2853,2020/03/08 17:03:42
2311050014,420,1980,2020/03/08 17:03:42
2311060010,0,1942,2020/03/08 17:03:42
2311070016,984,2858,2020/03/08 17:03:42
2312010014,0,1135,2020/03/08 17:03:42
2312041028,0,642,2020/03/08 17:03:42
2312050018,0,358,2020/03/08 17:03:42
2317020010,0,1946,2020/03/08 17:03:42
2317040012,0,1595,2020/03/08 17:03:42
2317050018,1021,2146,2020/03/08 17:03:42
2317060014,0,2131,2020/03/08 17:03:42
2317070010,0,1549,2020/03/08 17:03:42
2317080016,11,2040,2020/03/08 17:03:42
2317081022,0,2290,2020/03/08 17:03:42
2321010013,1751,1812,2020/03/08 17:03:42
2321020019,933,2250,2020/03/08 17:03:42
2321030015,2634,1914,2020/03/08 17:03:42
2321040011,3149,2210,2020/03/08 17:03:42
2321060013,691,1981,2020/03/08 17:03:42
2321070019,926,1985,2020/03/08 17:03:42
2322010017,2324,2160,2020/03/08 17:03:42
2322020013,626,1969,2020/03/08 17:03:42
2331070012,0,1585,2020/03/08 17:03:42
2331080018,2,1533,2020/03/08 17:03:42
2331090014,0,2112,2020/03/08 17:03:42
2331100015,0,2028,2020/03/08 17:03:42
2331120017,0,1752,2020/03/08 17:03:42
2331160011,0,873,2020/03/08 17:03:42
2331170017,6,1009,2020/03/08 17:03:42
2331180013,0,2127,2020/03/08 17:03:42
2331190019,2,1814,2020/03/08 17:03:42
2331200010,2,797,2020/03/08 17:03:42
2331210016,0,1454,2020/03/08 17:03:42
2331220012,0,2285,2020/03/08 17:03:42
2331230018,1,1575,2020/03/08 17:03:42
2331240014,0,2846,2020/03/08 17:03:42
2331250010,856,2622,2020/03/08 17:03:42
2331260016,2,2182,2020/03/08 17:03:42
2331270012,2,2093,2020/03/08 17:03:42
2331280018,0,2173,2020/03/08 17:03:42
2331290014,0,1604,2020/03/08 17:03:42
2332030012,1,1379,2020/03/08 17:03:42
2332040018,0,1321,2020/03/08 17:03:42
2332060010,171,2431,2020/03/08 17:03:42
2332080012,1,1400,2020/03/08 17:03:42
2332090018,0,1818,2020/03/08 17:03:42
2332100019,0,1620,2020/03/08 17:03:42
2332110015,0,1262,2020/03/08 17:03:42
2332120011,2,1824,2020/03/08 17:03:42
2332130017,1955,1665,2020/03/08 17:03:42
2333010014,2112,1376,2020/03/08 17:03:42
2333020010,0,1385,2020/03/08 17:03:42
2333030016,0,1334,2020/03/08 17:03:42
2333050018,2,163,2020/03/08 17:03:42
2333060014,0,525,2020/03/08 17:03:42
2333070010,0,777,2020/03/08 17:03:42
2333080016,17,1367,2020/03/08 17:03:42
2333090012,0,1306,2020/03/08 17:03:42
2333100013,3,378,2020/03/08 17:03:42
2333110019,1,2240,2020/03/08 17:03:42
2333120015,3,2148,2020/03/08 17:03:42
2333130011,0,1155,2020/03/08 17:03:42
2333140017,594,801,2020/03/08 17:03:42
2334010018,0,1858,2020/03/08 17:03:42
2334020014,5,2409,2020/03/08 17:03:42
2334030010,542,2176,2020/03/08 17:03:42
2334040016,136,1947,2020/03/08 17:03:42
2334050012,0,1438,2020/03/08 17:03:42
2334060018,0,1843,2020/03/08 17:03:42
2334070014,278,2479,2020/03/08 17:03:42
2334081026,1,1960,2020/03/08 17:03:42
2334090016,0,1774,2020/03/08 17:03:42
2334100017,0,1882,2020/03/08 17:03:42
2334110013,1138,1842,2020/03/08 17:03:42
2334120019,1836,1782,2020/03/08 17:03:42
2335010012,9,1918,2020/03/08 17:03:42
2335020018,0,1828,2020/03/08 17:03:42
2335030014,1,68,2020/03/08 17:03:42
2335040010,2,978,2020/03/08 17:03:42
2335060012,0,1832,2020/03/08 17:03:42
2335070018,246,1830,2020/03/08 17:03:42
